Deskripsi,Emosi
alway pressur act normal eat around famili christma yeah ill need lose weight comfort eat dessert stuff,fear
final enough defeat,sadness
like number import go forward chang confid mojo soon hit,joy
sit rv dinett driveway look big back window amaz,joy
fuck bit someth wish could chang,anger
miss safe comfort made vulner abl knew love,fear
went pick kid scare trembl self critic stupid,fear
like learn use game factori eager littl afraid,joy
wrong load time much kind embarrass think back,sadness
proud finish good test score expand educ,joy
oddli festiv alreadi,joy
start defeat,sadness
littl apprehens tomorrow weigh,fear
pleasantli surpris vote heavili dignifi comeback make mr johnson time around,joy
total ungrat extrem lucki,sadness
wear heel self assur,joy
like beaten pi ata spew unhealthi emot defeat,sadness
like life move smoothli immedi look around amp see servic focus give support other,joy
got like someth tragic go happen pray god like kristi complet wrong one everyth fine,sadness
realli piss actual stress,anger
hate colbi well day thank better,joy
reshap workout slightli left upper arm tender,love
gonna end pressur realli disappoint get actual thing tuesday realli studi jhbdjhdfbjdfhbfd mayb get comp ill go start type stuff,sadness
lost atom href http www,sadness
could find anoth reason new area less intimid simpl tool understand,fear
could point incid childhood blame upbring contradict notion awar moment choos intellig option,joy
want sound cocki full alhamdulillah far troubl breastfeed even start work,sadness
soo dull day,sadness
need jump bunch hoop enabl watch belov often befuddl bengal time start lose,love
fake,sadness
want go home toronto like nobodi tortur artist loser two week smoke pot alon bedroom watch degrassi junior high weep,fear
resent persecut whole aspect,anger
actual begin sorri settl someon like life,sadness
angri upset want run away,anger
hard time put word good spend hour serv friendli face peopl oftentim unabl leav home without help other,joy
silli like terribl mom late,sadness
like tortur govern secret know anyth,anger
love person went away necessari left reach goal,anger
hope ok,joy
uncomfort need sit bad present,fear
made mistak want spiritu endur remain romant,love
like kind coast gotten even popular,joy
dismay,sadness
product relationship,joy
pathet hold there obvious noth hold,sadness
like run breath cool enough anyth els,joy
alway tangl stomach never content want,joy
cri someth insid incred doom,sadness
sit corner stew muck hate alon unworthi violat,sadness
use homesick there loneli sometim sort urgent need get away parent,sadness
like paranoid stalker someth,fear
hate pressur carri convers end two us breath receiv got steami,fear
like strangl horni bastard school peopl bang boat even sya sorri,love
need manag spend money wise uncertain stress late,fear
super reassur move,joy
strang sympathet littl milli tonight much go use real name,love
happi report petti day mostli countless exampl late show irrat woman reach adulthood readi actual conciev,anger
bit foolish last year come back home town travel england see,sadness
also abl say comfort peopl ask sexual repress,sadness
run sure look like stroke someth,joy
remark grumpi mention foolish,anger
lucki see jump googl logo may take time,joy
inadvert help joke hurt classmat embarrass beyond reason,sadness
expect fast food sale rise smidgen neglig blip someon bench half peopl jubil number either let hous disappoint hope next season,joy
fantast terrifi injur back provid size follow item,joy
though accept well comfort around side famili,love
watch run help enviou,anger
guess heard enough two month time hear comment honestli offend,anger
sure care love peopl kid live better,love
melti miser enough imagin must go,sadness
energet pursu goal agit unabl sit still,anger
set consult therapist last week went see today spoke gener toward thing end reassur atlephobia instead social anxieti appar realli common,joy
littl stress much right wait coupl tax return mail letter jason employ take quit time,anger
discontinu seemingli integr method self preserv assur theif philadelphia,joy
pictur twin set copper pipe run somewher cool contempl one flow outward made weird think one,fear
speak anyon els activ also help go simpli okay certain cowork friendli toward,joy
freak like safe anywher run,joy
threaten concern realli entir happi situat either perhap instinct usual quit prepar even pleas speak passer,fear
urg updat resign hour job make coffe peopl day,sadness
tire letharg hungri go eat bread sausag entir chocol bar minut get home,sadness
go straight work need instantli glamor usual wear pair nw skinni pair high high shoe,joy
smart avoid make page cumbersom addit avoid clumsi tri introduc charact,joy
wind like butt end divin comedi somewher univers muse good laugh expens,joy
like death knock door live room gladli welcom epidur point,joy
love idea record larg chunk life other see futur plu ador victorian style look rather eleg also air mysteri like year time niec nephew may read woah ancient,joy
begin imagin must intellig wonder person limit way phyica disabl,joy
gloomi melanchol someth,sadness
stupid use name,sadness
left disappoint knowledg,sadness
privileg part way keep tradit skill aliv cours littl ballist owl magic,joy
bit overwhelm,surprise
back doctor year fabul,joy
lot self pride support us peter went back school bill get paid time actual plan summer vacat trip kid,love
hope last piec light jigsaw may final complet,joy
offend book take idiot that tv realiti attitud,anger
sit hour see fuck thing swim post traumat combat shock remind clich flaw like support charact movi often defin real live world live,love
stress discont level rise,sadness
trust moment fine even moment joy grief may sometim come slam face,joy
like prom dress gorgeou exist five year ago,joy
smirk folk use outlook like superior smarter person surround fool,joy
let way gorgeou partner love intens take breath away beauti comfort home food tabl drink plenti even dog ador,joy
set drive back derbyshir friday afternoon emot suddenli want leav funni homesick place your even counti border make go back special,sadness
like gener men famili guy suburb midwest like littl bit lost say heimbuch document search midwestern hunt root soon releas book shall manli thing,sadness
like doom repeat histori,sadness
